time,best_bid,best_ask
1631434590.104527,180.14000000,180.16000000
1631434590.205995,180.10000000,180.16000000
1631434590.304847,180.09000000,180.11000000
1631434590.405314,180.09000000,180.14000000
1631434590.50525,180.09000000,180.14000000
1631434590.604975,180.08000000,180.14000000
1631434590.706059,180.05000000,180.14000000
1631434590.8054988,180.05000000,180.14000000
1631434590.905569,180.05000000,180.14000000
1631434591.0047019,180.04000000,180.10000000
1631434591.1052742,180.04000000,180.08000000
1631434591.20516,180.04000000,180.05000000
1631434591.305633,180.04000000,180.13000000
1631434591.409004,180.06000000,180.16000000
1631434591.508234,180.05000000,180.12000000
1631434591.609451,180.05000000,180.10000000
1631434591.708009,180.05000000,180.09000000
1631434591.808504,180.05000000,180.09000000
1631434591.911381,180.05000000,180.15000000
1631434592.009151,180.05000000,180.16000000
1631434592.1087098,180.05000000,180.14000000
1631434592.208779,180.07000000,180.13000000
1631434592.3845718,180.09000000,180.20000000
1631434592.4232252,180.06000000,180.15000000
1631434592.509022,180.10000000,180.15000000
1631434592.608584,180.10000000,180.15000000
1631434592.7089012,180.10000000,180.15000000
1631434592.808149,180.10000000,180.14000000
1631434592.909158,180.10000000,180.14000000
1631434593.009147,180.10000000,180.14000000
1631434593.10876,180.10000000,180.14000000
1631434593.207493,180.02000000,180.11000000
1631434593.3085692,180.00000000,180.02000000
1631434593.409972,180.00000000,180.01000000
1631434593.508838,179.90000000,179.96000000
1631434593.60968,179.91000000,180.02000000
1631434593.711915,179.91000000,180.02000000
1631434593.812942,179.90000000,179.99000000
1631434593.9093351,179.90000000,179.99000000
1631434594.009017,179.90000000,180.01000000
1631434594.109259,179.89000000,179.96000000
1631434594.2089112,179.89000000,179.97000000
1631434594.308845,179.89000000,179.97000000
1631434594.409277,179.87000000,179.95000000
1631434594.508783,179.86000000,179.95000000
1631434594.611199,179.86000000,179.95000000
1631434594.7093089,179.86000000,179.93000000
1631434594.809412,179.86000000,179.93000000
1631434594.911337,179.86000000,179.94000000
1631434595.008883,179.86000000,179.95000000
1631434595.110612,179.86000000,179.94000000
1631434595.2103,179.86000000,179.93000000
1631434595.371649,179.86000000,179.93000000
1631434595.4361758,179.87000000,179.93000000
1631434595.525047,179.86000000,179.92000000
1631434595.62816,179.85000000,179.92000000
1631434595.709497,179.85000000,179.92000000
1631434595.8100321,179.85000000,179.92000000
1631434595.9110851,179.84000000,179.92000000
1631434596.009572,179.80000000,179.88000000
1631434596.1093628,179.79000000,179.85000000
1631434596.2118468,179.77000000,179.85000000
1631434596.310304,179.75000000,179.85000000
1631434596.412813,179.75000000,179.85000000
1631434596.5128262,179.75000000,179.85000000
1631434596.613724,179.75000000,179.85000000
1631434596.712821,179.75000000,179.85000000
1631434596.812741,179.75000000,179.84000000
1631434596.912674,179.75000000,179.83000000
1631434597.0128682,179.75000000,179.83000000
1631434597.112731,179.76000000,179.83000000
1631434597.212811,179.77000000,179.83000000
1631434597.314592,179.75000000,179.83000000
1631434597.412578,179.74000000,179.81000000
1631434597.512337,179.74000000,179.81000000
1631434597.61253,179.75000000,179.81000000
1631434597.712584,179.75000000,179.80000000
1631434597.812504,179.75000000,179.80000000
1631434597.912562,179.75000000,179.81000000
1631434598.017162,179.75000000,179.81000000
1631434598.115853,179.75000000,179.84000000
1631434598.218873,179.80000000,179.92000000
1631434598.3759801,179.80000000,179.85000000
1631434598.431554,179.79000000,179.84000000
1631434598.515908,179.79000000,179.84000000
1631434598.627837,179.79000000,179.84000000
1631434598.71592,179.79000000,179.84000000
1631434598.815778,179.79000000,179.84000000
1631434598.915877,179.79000000,179.84000000
1631434599.0156422,179.73000000,179.84000000
1631434599.116003,179.73000000,179.84000000
1631434599.215668,179.73000000,179.75000000
1631434599.315611,179.72000000,179.75000000
1631434599.418277,179.72000000,179.75000000
1631434599.51548,179.72000000,179.75000000
1631434599.6157281,179.72000000,179.75000000
1631434599.715567,179.72000000,179.75000000
1631434599.815539,179.72000000,179.75000000
1631434599.915686,179.72000000,179.75000000
1631434600.01567,179.70000000,179.73000000
1631434600.115705,179.70000000,179.73000000
1631434600.2153971,179.72000000,179.79000000
1631434600.315744,179.72000000,179.77000000
1631434600.415639,179.72000000,179.78000000
1631434600.5175948,179.72000000,179.85000000
1631434600.615344,179.75000000,179.85000000
1631434600.715432,179.77000000,179.85000000
1631434600.815522,179.80000000,179.89000000
1631434600.915759,179.76000000,179.86000000
1631434601.015573,179.77000000,179.86000000
1631434601.115458,179.74000000,179.82000000
1631434601.215588,179.74000000,179.80000000
1631434601.375911,179.72000000,179.80000000
1631434601.4415438,179.72000000,179.82000000
1631434601.5155368,179.73000000,179.86000000
1631434601.616965,179.73000000,179.86000000
1631434601.7151492,179.73000000,179.84000000
1631434601.8153212,179.76000000,179.89000000
1631434601.9153411,179.76000000,179.89000000
1631434602.01517,179.77000000,179.86000000
1631434602.117892,179.77000000,179.86000000
1631434602.2151911,179.81000000,179.92000000
1631434602.3151639,179.83000000,179.99000000
1631434602.415639,179.88000000,180.00000000
1631434602.518303,179.92000000,180.00000000
1631434602.617971,179.92000000,180.00000000
1631434602.7150972,179.85000000,179.98000000
1631434602.81507,179.98000000,180.02000000
1631434602.915458,179.98000000,180.05000000
1631434603.015139,179.98000000,180.05000000
1631434603.115051,179.98000000,180.01000000
1631434603.215234,179.98000000,180.01000000
1631434603.317083,179.98000000,179.99000000
1631434603.415195,179.98000000,179.99000000
1631434603.5149791,179.98000000,179.99000000
1631434603.620281,179.98000000,179.99000000
1631434603.716584,179.87000000,179.99000000
1631434603.816293,179.87000000,179.97000000
1631434603.91571,179.87000000,179.97000000
1631434604.016244,179.82000000,179.93000000
1631434604.115274,179.75000000,179.89000000
1631434604.2149508,179.76000000,179.85000000
1631434604.374954,179.77000000,179.83000000
1631434604.4343228,179.78000000,179.83000000
1631434604.514949,179.78000000,179.83000000
1631434604.626656,179.78000000,179.91000000
1631434604.715029,179.82000000,179.98000000
1631434604.814871,179.84000000,179.95000000
1631434604.917734,179.78000000,179.91000000
1631434605.015088,179.79000000,179.91000000
1631434605.115186,179.81000000,180.01000000
1631434605.2152262,179.87000000,179.99000000
1631434605.315632,179.89000000,179.99000000
1631434605.416935,179.89000000,179.99000000
1631434605.51492,179.94000000,179.99000000
1631434605.631242,179.94000000,180.00000000
1631434605.715638,179.94000000,180.00000000
1631434605.815129,179.94000000,180.00000000
1631434605.916213,179.94000000,180.00000000
1631434606.017654,179.89000000,180.00000000
1631434606.115242,179.89000000,180.00000000
1631434606.215698,179.89000000,179.96000000
1631434606.315549,179.89000000,179.94000000
1631434606.418265,179.89000000,179.93000000
1631434606.518083,179.89000000,179.92000000
1631434606.623795,179.85000000,179.92000000
1631434606.718466,179.85000000,179.92000000
1631434606.819566,179.85000000,179.92000000
1631434606.921438,179.85000000,179.92000000
1631434607.0183182,179.84000000,179.92000000
1631434607.121331,179.84000000,179.90000000
1631434607.218156,179.84000000,179.90000000
1631434607.3714838,179.85000000,179.91000000
1631434607.4366379,179.85000000,179.91000000
1631434607.518354,179.87000000,179.93000000
1631434607.618154,179.87000000,179.96000000
1631434607.725595,179.90000000,179.99000000
1631434607.8181639,179.92000000,179.99000000
1631434607.9182122,179.92000000,179.99000000
1631434608.017838,179.92000000,179.96000000
1631434608.117973,179.86000000,179.92000000
1631434608.219759,179.86000000,179.89000000
1631434608.317916,179.86000000,179.89000000
1631434608.4296262,179.86000000,179.89000000
1631434608.5304708,179.86000000,179.94000000
1631434608.630385,179.89000000,179.97000000
1631434608.7304251,179.89000000,179.99000000
1631434608.830313,179.89000000,179.99000000
1631434608.930549,179.89000000,179.99000000
1631434609.030421,179.89000000,179.99000000
1631434609.130024,179.91000000,179.99000000
1631434609.231381,179.92000000,179.99000000
1631434609.3301902,179.89000000,179.98000000
1631434609.43038,179.93000000,179.98000000
1631434609.5301828,179.89000000,179.97000000
1631434609.630395,179.89000000,179.97000000
